locus_tag	baseMean	log2FoldChange	lfcSE	pvalue	padj
SAUSA300_RS12930	2526.41783816578	-4.54168566246243	0.458644751296857	2.89573960257964e-24	8.3913497613884e-23
SAUSA300_RS03945	324.431137433599	-2.50017980501395	0.154557204520875	1.25116065363832e-59	1.04237321956243e-57
SAUSA300_RS02865	1567.10252463524	-0.114892021326577	0.107887083043821	0.282971190535673	0.490827061787967
SAUSA300_RS00715	56.0230226894653	-0.141819856520816	0.262435706945032	0.572126586870006	0.753229373133549
SAUSA300_RS00615	7.04812378055909	1.07459672781334	0.706740320937249	0.046257973974609	0.122344998627289
SAUSA300_RS01795	20.6394426126503	-1.05753485917896	0.455442848489397	0.00884962217755197	0.0299404730017177
SAUSA300_RS02425	601.240886486355	0.089846005217959	0.123260104420781	0.462805811000549	0.66766249573997
SAUSA300_RS09385	45.3905892017113	0.644973375100646	0.273221973528785	0.0133386782157182	0.042183767643066
srn_4160_Sau25	718.176074943658	0.151322880645275	0.132542914117251	0.24933287540614	0.45065860734425
SAUSA300_RS15120	19.1199836163184	0.36130308446249	0.391457193733706	0.309595074207717	0.521055948485097
SAUSA300_RS00385	18.8337227539158	-8.11490304030864	2.72094456131441	1.30021378351445e-09	1.32304196444639e-08
SAUSA300_RS02110	8.49014415891036	-0.297355740111589	0.5241895904272	0.492701140742994	0.688799811861993
SAUSA300_RS01200	5.96380032348259	0.322749596579042	0.611990676617161	0.488758931284192	0.685445192426963
SAUSA300_RS07990	177.253721587911	0.504465457412412	0.163287852441224	0.00168512194071435	0.00687983934754129
SAUSA300_RS03535	17.2680008648255	-0.147384664708908	0.402679848695872	0.682852283218275	0.827780916462728
SAUSA300_RS00815	6.48257536317149	0.992102593418038	0.696782387811054	0.0608521936609349	0.153483394796644
SAUSA300_RS09720	12.6718801872173	-0.560150528331871	0.484261143231542	0.177344960882331	0.351264239013593
SAUSA300_RS08625	216.722017082794	0.186353493451656	0.1510823818437	0.211799966223481	0.400467170178581
SAUSA300_RS00845	9.69108580738142	0.138521532323228	0.492918977931479	0.741471982536634	0.861085958802812
SAUSA300_RS00035	2778.45310695011	0.10306976245736	0.113207464808573	0.359819021553381	0.574073914698571
SAUSA300_RS03300	23.3897802578853	-1.14531241455447	0.439788830593066	0.00359273617710223	0.0133774226929533
SAUSA300_RS00640	17.6033877281494	0.976415965967813	0.446065694726196	0.0134581906357701	0.0424297562155752
SAUSA300_RS08350	227.404883584345	-0.178743243485087	0.150411550625244	0.227976012033036	0.422072255611162
SAUSA300_RS01470	2705.12996301561	0.692392038696176	0.114541942232763	1.09042810166617e-09	1.12242521970734e-08
SAUSA300_RS00275	72.5840596143537	-10.4197339763188	2.98213529145193	4.93905365671843e-15	9.03700046147254e-14
SAUSA300_RS01210	6.15852032952476	1.40564183054145	0.792884235355887	0.0176861628993185	0.0541969083788313
SAUSA300_RS01835	12.5635319384593	0.412011192891865	0.467068841360648	0.308178795503795	0.520992180604387
SAUSA300_RS01850	62.0930613079755	0.177613880139165	0.240334201642136	0.445064199858551	0.65489928264647
SAUSA300_RS01455	241.710846702326	1.03586266553509	0.156046147652284	1.61205568606531e-11	2.04654307573815e-10
SAUSA300_RS12580	38.9977852678134	0.752292375015152	0.298098583412682	0.00765562041019347	0.0262001078479792
SAUSA300_RS03575	119.258854423069	-0.858783613936968	0.198171836762853	8.70736451464308e-06	5.54029446206168e-05
SAUSA300_RS12475	2662.58490833557	-0.681469954518218	0.11135873593295	6.82076086987347e-10	7.21593193614392e-09
